Number,Volcano Name,Country,Region,Latitude,Longitude,Elev
110118,Seguam,United States,Aleutian Is,52.32,-172.52,1054
60330,Semeru,Indonesia,Java,-8.108,112.92,3676
110106,Semisopochnoi,United States,Aleutian Is,51.95,179.62,1221
80504,Shikotsu,Japan,Hokkaido-Japan,42.7,141.33,1320
110136,Shishaldin,United States,Aleutian Is,54.75,-163.97,2857
100027,Shiveluch,Russia,Kamchatka,56.653,161.36,3283
60427,Sirung,Indonesia,Lesser Sunda Is,-8.51,124.148,862
60318,Slamet,Indonesia,Java,-7.242,109.208,3432
1401021,Socorro,Mexico,Mexico-Is,18.78,-110.95,1050
60603,Soputan,Indonesia,Sulawesi-Indonesia,1.108,124.725,1784
60112,Sorikmarapi,Indonesia,Sumatra,0.686,99.539,2145
160006,Soufriere Guadeloupe,Guadeloupe,W Indies,16.05,-61.67,1467
160005,Soufriere Hills,Montserrat,W Indies,16.72,-62.18,915
160015,Soufriere St. Vincent,St. Vincent & the Grenadines,W Indies,13.33,-61.18,1220
110304,Spurr,United States,Alaska-SW,61.3,-152.25,3374
120105,St. Helens,United States,US-Washington,46.2,-122.18,2549
10104,Stromboli,Italy,Italy,38.789,15.213,926
60321,Sundoro,Indonesia,Java,-7.3,109.992,3136
804142,Supply Reef,United States,Mariana Is-C Pacific,20.13,145.1,-8
50701,Suretamatai,Vanuatu,Vanuatu-SW Pacific,-13.8,167.47,921
80203,Suwanose-jima,Japan,Ryukyu Is,29.53,129.72,799
70307,Taal,Philippines,Luzon-Philippines,14.002,120.993,400
140113,Tacana,Mexico,Mexico,15.13,-92.112,4110
40312,Tafu-Maka,Tonga,Tonga-SW Pacific,-15.367,-174.233,-1400
60116,Talang,Indonesia,Sumatra,-0.978,100.679,2597
60404,Tambora,Indonesia,Lesser Sunda Is,-8.25,118,2850
60309,Tangkubanparahu,Indonesia,Java,-6.77,107.6,2084
140404,Telica,Nicaragua,Nicaragua,12.602,-86.845,1061
60331,Tengger Caldera,Indonesia,Java,-7.942,112.95,2329
180205,Terceira,Portugal,Azores,38.73,-27.32,1023
190007,Thule Islands,Antarctica,Antarctica,-59.45,-27.37,1075
90003,Tiatia,Russia,Kuril Is,44.358,146.27,1819
50601,Tinakula,Solomon Is.,Santa Cruz Is-SW Pac,-10.38,165.8,851
80505,Tokachi,Japan,Hokkaido-Japan,43.42,142.68,2077
100024,Tolbachik,Russia,Kamchatka,55.83,160.33,3682
40108,Tongariro,New Zealand,New Zealand,-39.13,175.642,1978
80409,Tori-shima,Japan,Izu Is-Japan,30.48,140.32,403
110216,Trident,United States,Alaska Peninsula,58.23,-155.08,1864
150208,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023
150701,Tupungatito,Chile,Chile-C,-33.4,-69.8,6000
150402,Ubinas,Peru,Peru,-16.355,-70.903,5672
1102131,Ukinrek Maars,United States,Alaska Peninsula,57.83,-156.52,91
50212,Ulawun,Papua New Guinea,New Britain-SW Pac,-5.05,151.33,2334
50803,Unnamed,Pacific Ocean,SW Pacific,-25.78,168.63,-2400
130301,Unnamed,Pacific Ocean,Pacific-E,9.82,-104.3,-2500
40303,Unnamed,Tonga,Tonga-SW Pacific,-20.85,-175.53,-13
403091,Unnamed,Tonga,Tonga-SW Pacific,-18.325,-174.365,-40
130404,Unnamed,Pacific Ocean,Pacific-E,10.733,-103.583,
130405,Unnamed,Pacific Ocean,Pacific-E,9.833,-104.3,-2500
90016,Unnamed,Russia,Kuril Is,46.47,151.28,-502
50003,Unnamed,United States,Admiralty Is-SW Paci,-3.03,147.78,-1300
110117,Unnamed,United States,Aleutian Is,52,-173.5,0
80210,Unzen,Japan,Kyushu-Japan,32.75,130.3,1500
80503,Usu,Japan,Hokkaido-Japan,42.53,140.83,731
110207,Veniaminof,United States,Alaska Peninsula,56.17,-159.38,2507
170201,Vestmannaeyjar,Iceland,Iceland-S,63.43,-20.28,279
1508061,"Viedma, Volcan",Argentina,Argentina,-49.358,-73.28,1300
150712,Villarrica,Chile,Chile-C,-39.42,-71.93,2847
40313,West Mata,Tonga,Tonga-SW Pacific,-15.1,-173.75,-1174
110134,Westdahl,United States,Aleutian Is,54.52,-164.65,1654
40104,White Island,New Zealand,New Zealand,-37.52,177.18,321
150302,"Wolf, Volcan",Ecuador,Galapagos,0.02,-91.35,1710
80307,Yake-dake,Japan,Honshu-Japan,36.22,137.58,2455
50710,Yasur,Vanuatu,Vanuatu-SW Pacific,-19.52,169.425,361
100004,Zheltovsky,Russia,Kamchatka,51.57,157.323,1953
