time,id,depth,mag,nst,error
2020-07-21T16:15:29.280Z,ak0209bzpnxc,0,1.4,,
2020-07-21T16:10:00.217Z,us7000asub,2.32,1.6,,1.1
2020-07-21T16:07:49.348Z,nn00761903,4.2,1.7,24,
2020-07-21T16:03:40.520Z,nn00761901,11.7,0.6,11,
2020-07-21T15:56:48.440Z,uu60402882,-0.09,1.98,14,0.41
2020-07-21T15:55:04.310Z,nc73429031,3.27,-0.03,23,0.23
2020-07-21T15:44:12.730Z,hv72053997,32.74000168,1.76999998,36,0.73
2020-07-21T15:26:10.340Z,nn00761896,15.9,0.5,10,
2020-07-21T15:16:23.515Z,ak0209bz4flb,7.1,0.7,,
2020-07-21T15:12:59.160Z,nn00761894,10.5,0.8,11,
2020-07-21T15:08:32.980Z,ci38600882,8.56,0.69,8,0.71
2020-07-21T15:07:59.399Z,ok2020ogfo,7.34,2.1,95,
2020-07-21T15:07:41.399Z,ak0209bz2jp6,52.9,1.3,,
2020-07-21T15:04:59.607Z,nn00761891,10.5,1.9,24,
2020-07-21T14:52:39.750Z,ci38600826,2.93,1.86,53,0.25
2020-07-21T14:52:37.370Z,hv72053947,-0.889999986,1.70000005,12,0.69
2020-07-21T14:52:21.000Z,av62201921,7.75,1.38,17,0.27
2020-07-21T14:49:49.967Z,us7000asbx,168.23,5,,10.3
2020-07-21T14:36:05.241Z,us7000asbp,480.72,4.4,,13.2
2020-07-21T14:31:44.760Z,ci38600794,11.95,0.44,10,0.54
2020-07-21T14:27:56.140Z,nn00761887,0.7,1.5,16,
2020-07-21T14:26:27.651Z,ak0209byl5ge,18.6,2,,
2020-07-21T14:22:58.080Z,uu60402877,9.11,0.79,11,0.6
2020-07-21T14:18:57.060Z,ci38600746,13.5,0.91,12,0.58
2020-07-21T14:14:12.600Z,nn00761886,5.1,1.3,9,
2020-07-21T14:03:08.131Z,ak0209byg6hp,86.5,1.4,,
2020-07-21T14:01:48.660Z,ak0209byfu55,0,2.5,,
2020-07-21T13:43:33.860Z,nn00761881,0.2,1.4,10,
2020-07-21T13:37:03.810Z,nc73429011,1.1,0.2,11,0.29
2020-07-21T13:36:21.140Z,ci38600682,2.57,0.6,10,0.9
2020-07-21T13:32:29.748Z,us7000asa6,10,4.5,,4.2
2020-07-21T13:26:18.233Z,us7000asa5,10,4.5,,8
2020-07-21T13:25:18.231Z,us7000asa2,5,2.6,,3
2020-07-21T13:19:17.122Z,ak0209bxy71b,122,2.1,,
2020-07-21T13:19:03.780Z,uu60023224,8.77,-0.42,4,1.89
2020-07-21T13:19:00.750Z,uu60402872,-0.13,1.63,14,0.57
2020-07-21T13:18:56.870Z,nn00761875,3.9,1.9,21,
2020-07-21T13:10:13.540Z,ci38600650,16.74,2.04,76,0.19
2020-07-21T13:06:31.340Z,nc73428996,3.55,-0.02,20,0.25
2020-07-21T13:02:34.630Z,ci38600642,8.24,0.21,10,0.65
2020-07-21T12:59:17.090Z,hv72053857,32.36999893,1.84000003,46,0.65
2020-07-21T12:54:16.040Z,nn00761872,12.3,1.1,11,
2020-07-21T12:47:50.130Z,ok2020ogay,5,0.27,14,
2020-07-21T12:41:14.620Z,nc73428991,5.86,0.64,22,0.29
2020-07-21T12:29:23.530Z,uu60402867,7.68,2.7,21,0.29
2020-07-21T12:21:44.760Z,nc73428986,1.79,1.12,17,0.42
2020-07-21T12:19:42.790Z,nn00761869,0.6,0.5,10,
2020-07-21T12:18:23.690Z,nc73428981,6.95,0.5,7,0.5
2020-07-21T12:18:07.890Z,uu60402857,10.7,0.17,11,0.5
2020-07-21T12:17:02.300Z,uu60402862,-0.37,1.64,15,0.46
2020-07-21T12:13:34.850Z,uw61661001,9.3,0.61,15,0.36
2020-07-21T12:12:00.610Z,ci38600586,7.66,0.54,13,0.52
2020-07-21T12:05:18.160Z,nc73428976,0.93,0.83,10,0.29
2020-07-21T12:04:39.550Z,nc73428971,3.09,0.24,25,0.23
2020-07-21T11:59:39.950Z,ci38600578,1.09,1.82,43,0.47
2020-07-21T11:57:02.344Z,ak0209bwzfvf,0,1.9,,
2020-07-21T11:55:19.150Z,hv72053807,35.84000015,1.73000002,39,0.68
2020-07-21T11:52:49.030Z,nn00761866,6,1.6,16,
